20	0	0.7	0.0014
40	0	0.58	0.0013
60	0	0.51	0.0013
70	0	0.45	0.0012
80	0	0.4	0.0012
100	0	0.36	0.0012
120	0	0.33	0.0012
140	0	0.3	0.0012
160	0	0.28	0.0011
180	0	0.26	0.0011
200	0	0.25	0.0011
220	0	0.23	0.0011
240	0	0.22	0.0011
260	0	0.21	0.0011
280	0	0.19	0.0011
300	0	0.18	0.0011
320	0	0.18	0.0011
340	0	0.17	0.0011
360	0	0.16	0.0011
380	0	0.16	0.0011
400	0	0.16	0.0011
420	0	0.15	0.0011
440	0	0.15	0.0011
460	0	0.14	0.0011
480	0	0.13	0.0011
500	0	0.11	0.0011
520	0	0.11	0.0011
540	0	0.11	0.0011
560	0	0.11	0.0011
580	0	0.11	0.0011
600	0	0.1	0.0011
620	0	0.11	0.0011
640	0	0.1	0.0011
660	0	0.1	0.0011
680	0	0.11	0.0011
